"id","num_stimulus","legumes_fix","feculents_fix","proteines_fix","fruits_fix","legumes_tps","feculents_tps","proteines_tps","fruits_tps","classe"
16,980,8,17,14,3,4220,7021,6567,431,"Equilibre"
13,980,3,13,14,14,777,9549,9786,6211,"Equilibre"
14,980,9,19,19,16,1453,5635,5556,3322,"PresqueEquilibre"
11,980,4,9,8,7,1552,4395,5616,2399,"Equilibre"
10,980,13,13,10,5,2830,7141,7296,2433,"Equilibre"
9,980,6,15,14,15,2086,10535,10858,6228,"Equilibre"
8,980,6,11,12,11,1161,8334,10867,6654,"Equilibre"
7,980,11,33,25,12,3266,10658,8470,4003,"Equilibre"
5,980,8,15,14,7,1927,4192,4628,2415,"Equilibre"
6,980,5,8,10,10,878,2616,2770,1824,"Equilibre"
4,980,15,20,20,12,4144,11024,12719,2871,"Equilibre"
3,980,9,17,14,11,3627,7513,9165,3772,"Equilibre"
2,980,1,4,4,3,1020,2410,2491,896,"Equilibre"
37,980,3,11,13,10,1625,3778,4138,6741,"Equilibre"
34,980,7,27,22,7,981,8939,7665,3229,"Equilibre"
33,980,8,17,13,8,4221,9346,8731,2408,"PresqueEquilibre"
32,980,2,8,6,5,830,3002,3420,954,"Equilibre"
31,980,4,8,9,6,1000,2133,2738,2040,"Equilibre"
30,980,3,6,5,4,793,2041,2525,1757,"Equilibre"
