"id_tester","id_item","pays","num_stimulus","rep_Z1","rep_Z2","rep_Z3","rep_Z4","rep_Z5","fix_tot","Temps_Z1","Temps_Z2","Temps_Z3","Temps_Z4","Temps_Z5","tps_tot"
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,4,9,9,13,4,39,972,2528,3608,5460,1503,14071
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,2,4,1,6,2,15,940,1325,268,3213,593,6339
"df6523cd-3270-4298-8d6f-00aa8e9455e6","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,3,5,9,6,2,25,992,1939,5001,2301,665,10898
"54c68134-2c2a-4f2e-974b-32310830af0e","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,4,6,2,1,1,14,1108,1490,1096,800,263,4757
"055d198c-f8b0-47b7-9eb3-94fc57808f93","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,7,9,7,5,7,35,2867,4100,2882,4245,1442,15536
"cea293cd-b0b1-40ea-8e71-756b3956e8ad","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,1,5,4,5,1,16,439,1030,1156,2466,305,5396
"de86783a-ac86-419a-a230-dad6b421fba4","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,4,6,3,12,6,31,1136,1459,805,5754,1259,10413
"919c7921-7cef-4620-a2fe-766180ed2fbb","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,6,4,0,4,9,23,1261,1389,0,3542,4284,10476
"9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,3,4,2,4,3,16,1472,1361,526,1699,563,5621
"06026e76-f9a4-4fb9-877d-bcd33373cdab","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,7,9,6,9,8,39,2109,2947,2445,3455,3021,13977
"27e050a3-45e8-4076-9c25-32be9040da4e","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,0,2,5,9,0,16,0,811,1892,3818,0,6521
"4995f6d3-50ed-427d-9cf2-4ea0b81a229c","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a","France",421,12,11,8,10,12,53,4584,4335,3227,6409,4092,22647
