"id_tester","id","id_item","num_stimulus","pays","feculents_fix","proteines_fix","fruits_fix","legumes_fix","fix_tot","feculents_tps","proteines_tps","fruits_tps","legumes_tps","tps_tot","pct_feculents_tps","pct_proteines_tps","pct_fruits_tps","pct_legumes_tps","max","cat_max_tps","pct_feculents_fix","pct_proteines_fix","pct_fruits_fix","pct_legumes_fix","cat_max_fix"
"14229a71-f44e-4149-9f3c-aa7415691eae",42,"34359006-f70f-438e-85d0-420cf2fe6944",156,"Ukraine",17,7,0,5,29,5500,2647,0,2275,10422,52.7729802341201,25.3981961235847,0,21.8288236422951,17,"feculents",58.6206896551724,24.1379310344828,0,17.2413793103448,"feculents"
"14229a71-f44e-4149-9f3c-aa7415691eae",42,"20f3c152-6ebf-49db-8e1a-00eebd99feb6",672,"Finland",4,0,2,5,11,2244,0,1635,2038,5917,37.9246239648471,0,27.6322460706439,34.443129964509,5,"feculents",36.3636363636364,0,18.1818181818182,45.4545454545455,"legumes"
"14229a71-f44e-4149-9f3c-aa7415691eae",42,"213479f7-39af-4b83-b0e9-4ba473d27429",756,"Spain",11,7,2,12,32,6333,4839,463,5394,17029,37.1895002642551,28.4162311351224,2.71889130307123,31.6753772975512,12,"feculents",34.375,21.875,6.25,37.5,"legumes"
"14229a71-f44e-4149-9f3c-aa7415691eae",42,"7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",421,"France",0,13,14,13,40,0,6137,6754,3552,16443,0,37.3228729550569,41.0752295809767,21.6018974639664,14,"fruits",0,32.5,35,32.5,"fruits"
"14229a71-f44e-4149-9f3c-aa7415691eae",42,"cc2a8b56-732c-4e4c-a058-248783b68587",489,"South Korea",9,15,0,17,41,5718,8607,0,6918,21243,26.9171021042226,40.5168761474368,0,32.5660217483406,17,"legumes",21.9512195121951,36.5853658536585,0,41.4634146341463,"legumes"
"14229a71-f44e-4149-9f3c-aa7415691eae",42,"dd13fcba-0ae1-43d3-9d32-1672ed84f151",327,"USA",15,25,3,15,58,5304,13198,1018,6109,25629,20.6953060985602,51.496351788989,3.97206289749893,23.8362792149518,25,"legumes",25.8620689655172,43.1034482758621,5.17241379310345,25.8620689655172,"proteines"
"14229a71-f44e-4149-9f3c-aa7415691eae",42,"6afda059-04a5-4308-b776-a532ed142284",238,"Italy",6,7,4,3,20,3623,4577,871,1633,10704,33.8471599402093,42.7597159940209,8.13714499252616,15.2559790732436,7,"feculents",30,35,20,15,"proteines"
"14229a71-f44e-4149-9f3c-aa7415691eae",42,"f61f9030-d814-495d-af95-0e643697de64",352,"Brazil",13,5,7,10,35,5802,4499,3836,3560,17697,32.7852178335311,25.4223879753631,21.6759902808386,20.1164039102673,13,"feculents",37.1428571428571,14.2857142857143,20,28.5714285714286,"feculents"
"14229a71-f44e-4149-9f3c-aa7415691eae",42,"5445f170-12c1-48fc-9563-3709dd2993b0",980,"Greece",19,15,8,7,49,7264,7786,3626,1697,20373,35.6550336229323,38.2172483188534,17.7980660678349,8.32965199037942,19,"feculents",38.7755102040816,30.6122448979592,16.3265306122449,14.2857142857143,"feculents"
"149c1889-4e83-4153-b763-54fb60e60d99",41,"34359006-f70f-438e-85d0-420cf2fe6944",156,"Ukraine",29,6,0,27,62,8839,1894,0,10351,21084,41.9227850502751,8.98311515841396,0,49.0940997913109,29,"legumes",46.7741935483871,9.67741935483871,0,43.5483870967742,"feculents"
"149c1889-4e83-4153-b763-54fb60e60d99",41,"20f3c152-6ebf-49db-8e1a-00eebd99feb6",672,"Finland",21,0,17,37,75,8801,0,7933,18355,35089,25.0819345093904,0,22.6082247997948,52.3098406908148,37,"legumes",28,0,22.6666666666667,49.3333333333333,"legumes"
"149c1889-4e83-4153-b763-54fb60e60d99",41,"213479f7-39af-4b83-b0e9-4ba473d27429",756,"Spain",9,6,1,10,26,5685,4704,97,3644,14130,40.2335456475584,33.2908704883227,0.686482661004954,25.7891012031139,10,"feculents",34.6153846153846,23.0769230769231,3.84615384615385,38.4615384615385,"legumes"
"149c1889-4e83-4153-b763-54fb60e60d99",41,"7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",421,"France",0,17,17,14,48,0,9067,9341,4967,23375,0,38.7893048128342,39.9614973262032,21.2491978609626,17,"fruits",0,35.4166666666667,35.4166666666667,29.1666666666667,"proteines"
"149c1889-4e83-4153-b763-54fb60e60d99",41,"cc2a8b56-732c-4e4c-a058-248783b68587",489,"South Korea",6,8,0,20,34,2876,3797,0,9639,16312,17.631191760667,23.2773418342325,0,59.0914664051005,20,"legumes",17.6470588235294,23.5294117647059,0,58.8235294117647,"legumes"
"149c1889-4e83-4153-b763-54fb60e60d99",41,"dd13fcba-0ae1-43d3-9d32-1672ed84f151",327,"USA",14,5,4,10,33,4498,3293,1087,2802,11680,38.5102739726027,28.1934931506849,9.30650684931507,23.9897260273973,14,"feculents",42.4242424242424,15.1515151515152,12.1212121212121,30.3030303030303,"feculents"
"149c1889-4e83-4153-b763-54fb60e60d99",41,"6afda059-04a5-4308-b776-a532ed142284",238,"Italy",7,4,2,5,18,1988,6626,339,1338,10291,19.3178505490234,64.3863570109805,3.29414051112623,13.0016519288699,7,"feculents",38.8888888888889,22.2222222222222,11.1111111111111,27.7777777777778,"feculents"
"149c1889-4e83-4153-b763-54fb60e60d99",41,"f61f9030-d814-495d-af95-0e643697de64",352,"Brazil",11,8,3,5,27,6062,4134,826,3098,14120,42.9320113314448,29.2776203966006,5.84985835694051,21.9405099150142,11,"feculents",40.7407407407407,29.6296296296296,11.1111111111111,18.5185185185185,"feculents"
"149c1889-4e83-4153-b763-54fb60e60d99",41,"5445f170-12c1-48fc-9563-3709dd2993b0",980,"Greece",7,7,3,4,21,2783,2900,1446,1150,8279,33.6151709143616,35.0283850706607,17.4658775214398,13.8905664935379,7,"feculents",33.3333333333333,33.3333333333333,14.2857142857143,19.047619047619,"proteines"
"e433aa11-cdb7-4733-88a9-7067cf52299b",40,"34359006-f70f-438e-85d0-420cf2fe6944",156,"Ukraine",28,16,0,44,88,9405,6961,0,13712,30078,31.2687013764213,23.1431611144358,0,45.5881375091429,44,"legumes",31.8181818181818,18.1818181818182,0,50,"legumes"
"e433aa11-cdb7-4733-88a9-7067cf52299b",40,"7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",421,"France",0,14,16,9,39,0,7000,8727,1752,17479,0,40.048057669203,49.928485611305,10.023456719492,16,"fruits",0,35.8974358974359,41.025641025641,23.0769230769231,"fruits"
"e433aa11-cdb7-4733-88a9-7067cf52299b",40,"cc2a8b56-732c-4e4c-a058-248783b68587",489,"South Korea",10,14,0,34,58,4950,6064,0,10830,21844,22.6606848562534,27.7604834279436,0,49.578831715803,34,"legumes",17.2413793103448,24.1379310344828,0,58.6206896551724,"legumes"
"e433aa11-cdb7-4733-88a9-7067cf52299b",40,"6afda059-04a5-4308-b776-a532ed142284",238,"Italy",8,10,6,12,36,2009,3956,2203,6181,14349,14.0009756777476,27.5698654958534,15.3529862708203,43.0761725555788,12,"legumes",22.2222222222222,27.7777777777778,16.6666666666667,33.3333333333333,"legumes"
